date,total,name,type,county,residents,staff,attendee
2021-12-08,10,Centennial Parks Hospital ,Healthcare - Psychiatric Hospital,Boulder,3,7,0
2021-12-06,2,Balfour Longmont (23L108): December 2021,Healthcare - Assisted Living,Boulder,1,1,0
2021-12-06,3,Altavita Memory Care Center (23H130): December 2021,Healthcare - Skilled Nursing,Boulder,1,2,0
2021-12-03,2,Manor Health Services - Boulder (020315): November 2021,Healthcare - Skilled Nursing,Boulder,0,2,0
2021-12-02,5,SonShine Daycare and Preschool,Child Care Center,Boulder,0,2,3
2021-12-02,2,Linden Place Health and Rehabilitation Center (020375): November 2021,Healthcare - Skilled Nursing,Boulder,0,2,0
2021-12-02,7,Primrose School of Longmont: November 2021,Child Care Center,Boulder,0,3,4
2021-12-01,4,Frasier Meadows Health Care Center (020301),Healthcare - Skilled Nursing,Boulder,0,4,0
2021-11-18,16,Lyons Elementary School,School K-12,Boulder,0,0,16
2021-11-18,7,Seagate Technology,Non-Food Manufacturer/Warehouse,Boulder,0,7,0
2021-11-17,7,Rocky Mountain Christian Academy,School K-12,Boulder,0,1,6
2021-11-12,5,Life Care Center of Longmont (020316): November 2021,Healthcare - Skilled Nursing,Boulder,0,5,0
2021-11-12,11,The Learning Experience - Lafayette: November 2021,Child Care Center,Boulder,0,4,7
2021-11-03,5,Hygiene Elementary School,School K-12,Boulder,0,1,4
2021-11-01,7,The Suites Supportive Housing ,Other,Boulder,7,0,0
2021-10-28,13,Ned's Restaurant,Restaurant - Sit Down,Boulder,0,13,0
2021-10-25,2,MorningStar Assisted Living & Memory Care of Boulder (23F542): October 2021,Healthcare - Assisted Living,Boulder,0,2,0
2021-10-15,6,Burlington Elementary School,School K-12,Boulder,0,0,6
2021-10-13,20,Ryan Elementary School,School K-12,Boulder,0,0,20
2021-10-11,7,Longmont High School: October 2021,School K-12,Boulder,0,0,7
2021-10-04,26,Louisville Elementary School,School K-12,Boulder,0,3,23
2021-10-01,6,Longs Peak Middle School,School K-12,Boulder,0,0,6
2021-09-29,15,Intrado Life & Safety,Office/Indoor Workspace,Boulder,0,15,0
2021-09-29,5,Niwot High School,School K-12,Boulder,0,0,5
2021-09-23,36,Peak To Peak Charter School,School K-12,Boulder,0,5,31
2021-09-03,53,Boulder Shelter for the Homeless: August 2021,Homeless Shelter,Boulder,49,4,0
2021-08-31,65,Boulder County Jail: August 2021,Jail,Boulder,56,9,0
