total	type	name
5	Distribution Center/Business	United Parcel Service (UPS): February 2021
5	Child Care Center	Wishes and Dreams Childcare
2	"Correctional	 Other"
5	College/University	Colorado Mesa University Admissions Office
4	Healthcare - Skilled Nursing	Mantey Heights (021149): February 2021
2	Office/Indoor Workspace	Fred Loya/National Insurance- Loveland
4	School K-12	Wamsley Elementary School
2	School K-12	Cottonwood Creek Elementary School
12	Bar/Tavern/Brewery	Dark Horse
2	School K-12	Mitchell High School
4	Healthcare - Assisted Living	MacKenzie Place Fort Collins (23Z789)
6	Healthcare - Psychiatric Hospital	Colorado Mental Health Institute in Pueblo (CMHIP): February 2021
12	School K-12	Durango High School
13	Office/Indoor Workspace	Friday Health Plans: February 2021
2	Restaurant - Sit Down	Red Mountain Grill
4	Restaurant - Fast Food	Chipotle Mexican Grill- California St. Denver
8	State Prison	Arkansas Valley Correctional Facility: February 2021
3	College/University	Colorado College Athletics Department 
2	School K-12	Summit Middle School: February 2021
3	Grocery Store	Trader Joe's #305
7	Construction Company/Contractor	CoCal Landscape
25	State Prison	Buena Vista Correctional Complex: February 2021
10	School K-12	Heritage High School
2	Office/Indoor Workspace	Corkat Data Solutions LLC
2	Healthcare - Skilled Nursing	Parkview Care Center (020440): February 2021
5	School K-12	Dakota Ridge High School: February 2021
2	Restaurant - Sit Down	Roma Restaurant- Windsor
2	Outdoor Entertainment/Rec	Breckenridge Grooming and Trail Maintenance
3	School K-12	James Irwin Charter Academy- Howard Campus: February 2021 
3	Restaurant - Sit Down	Epic Egg - Market Square
2	School K-12	Peabody Elementary
18	Youth Sports/Activities	Premier Gymnastics
7	School K-12	Ralston Valley High School: February 2021
3	Healthcare - Skilled Nursing	Colorado State Veterans Home at Fitzsimons (02R932): February 2021
8	School K-12	James Irwin Charter Schools: February 2021
3	Healthcare - Skilled Nursing	Alpine Living Center (020410): February 2021
2	Office/Indoor Workspace	Vorto
4	Restaurant - Sit Down	Smokin Dave's BBQ & Taphouse
2	Healthcare - Psychiatric Hospital	Colorado Mental Health Institute at Fort Logan (CMHIFL): February 2021
4	Child Care Center	iKid Academy Aurora
22	Food Manufacturing/Packaging	Leprino Foods - Fort Morgan: December 2020
2	Child Care Center	Shining Stars Learning Center
6	Retailer	Nature's Herbs and Wellness: February 2021
6	School K-12	Little Elementary School
7	Social Gathering	Social Gathering- La Plata County: February 2021 #2
4	Healthcare - Facility for Developmentally Disabled (outpatient)	Center for Autism and Related Disorders
2	Office/Indoor Workspace	IBD Design Studio
2	School K-12	Audubon Elementary School
2	Healthcare - Skilled Nursing	Life Care Center of Longmont (020316): February 2021
2	Child Care Center	Lowry Early Learning Center
10	Non-Food Manufacturer/Warehouse	Colorado Metal Manufacturing/Colorado Iron and Metal
10	Other	BDC Labs
3	Office/Indoor Workspace	Pinnacle Consulting Group_ Inc.
3	Child Care Center	Lil'tykes Playschool
3	Child Care Center	Windmill Child Enrichment Center
2	School K-12	Timberview Middle School
3	Office/Indoor Workspace	Dunmire Property Management
8	School K-12	Holy Trinity Academy 
2	Healthcare - Outpatient	Lake Loveland Dermatology (Ideal Dermatology): February 2021
28	Religious Facility	Lifespring Covenant Church
3	School K-12	Berthoud Elementary School
3	Non-Food Manufacturer/Warehouse	Utex Industries_ Inc.
2	School K-12	Rangeview High School
34	Youth Sports/Activities	Kemper Dance Academy
10	Office/Indoor Workspace	CVL Consultants_ a Westwood Team
2	Other	Larry H Miller Toyota Colorado Springs
9	School K-12	American Academy - Motsenbocker: February 2021
2	Office/Indoor Workspace	Larimer County Road & Bridge
4	Restaurant - Fast Food	Jimmy John's 
2	Restaurant - Other	Chipotle-Silverthorne
2	Agriculture - Other	Summit Plant Laboratories
4	Restaurant - Sit Down	Lazy Dog Johnstown LLC
4	Other	Enterprise Rent-A-Car
3	Construction Company/Contractor	Aslan Construction
3	Healthcare - Skilled Nursing	Boulder Manor (020339): February 2021
3	Social Gathering	Social Gathering: Dillon
2	School K-12	Sunrise Elementary School: February 2021
4	Healthcare - Assisted Living	The Vineyard Memory Care (23S295)
4	School K-12	Lewis-Palmer High School: February 2021
2	College/University	Colorado School of Mines- Sigma Phi Epsilon
