total	name	type
8	Rocky Heights Middle School: March 2021	School K-12
2	Alpine Lumber Company	Retailer
3	Keesee Motor Co: March 2021	Other
5	Green Tree Medicinals	Retailer
6	Top Golf- Thornton: March 2021	Indoor Entertainment/Rec
3	Durango Plastering and Drywall	Construction Company/Contractor
15	Denver Women's Correctional Facility: March 2021	State Prison
3	Volvo of Denver	Other
3	Chili's Grill & Bar: March 2021	Restaurant - Sit Down
3	City of Durango Wastewater/Maintenance	Other
3	Broomfield Skilled Nursing & Rehab Center (02R989): March 2021	Healthcare - Skilled Nursing
4	Highlands Sport and Spine	Healthcare - Outpatient
2	Riverdale Rehab and Care Community (020312): March 2021	Healthcare - Skilled Nursing
3	Lemay Avenue Health & Rehabilitation (020326): March 2021	Healthcare - Skilled Nursing
3	Gander RV & Outdoors of Denver	Retailer
3	Stolle Machinery- Englewood	Non-Food Manufacturer/Warehouse
2	University of Northern Colorado Athletics - Strength and Conditioning	College/University
2	Garden Square of Greeley (2303DK): March 2021	Healthcare - Assisted Living
3	Double Eagle Hotel & Casino	Casino
3	Hearing HealthCare Centers	Healthcare - Outpatient
6	Kentucky Fried Chicken- Firestone	Restaurant - Fast Food
6	Mountain Springs Recovery: March 2021	Healthcare - Alcohol/Drug Abuse Treatment (outpatient)
3	Mighty Hand Construction	Construction Company/Contractor
4	Berry Creek Middle School	School K-12
2	Sanborn Western Camps (COEC)	Overnight Camp
5	Awakened Foods	Food Manufacturing/Packaging
2	Parker Core Knowledge Charter School: March 2021	School K-12
5	Custer County Seat Buildings	Office/Indoor Workspace
5	Northern Colorado Volleyball Club Tournaments	Youth Sports/Activities
4	Team Velocity	Youth Sports/Activities
2	PowerBack Rehabilitation Lafayette (02U713): March 2021	Healthcare - Rehab Facility
3	Fort Collins Police Department: March 2021	Law Enforcement - Other
3	Our Lady of Loreto Catholic School	School K-12
5	3STEP Lacrosse	Youth Sports/Activities
2	Piante Pizzeria	Restaurant - Sit Down
2	University of Colorado at Colorado Springs- Dining Hall	College/University
3	Colorado School of Mines - Beta Theta Pi 	School/College Dorm
3	Midtown Montessori Academy- Sloan's Lake	Child Care Center
8	Sonshine Center East	Child Care Center
8	Gulfeagle Supply	Distribution Center/Business
10	Mobile Mini Solutions	Office/Indoor Workspace
3	Social Gathering- Frisco: March 2021	Other
3	Nitro Club	Nightclub
6	Tall Grass Animal Hospital	Other
6	Excel Academy Charter School	School K-12
4	Delta Correctional Center: March 2021	State Prison
2	Boulder Hockey Club 16AA	Youth Sports/Activities
8	South High School	School K-12
2	Harker Neumaier Associates_ LLC	Office/Indoor Workspace
2	The Human Bean- Loveland	Restaurant - Other
2	Colorado Grande Casino	Casino
2	Brookdale Fort Collins Memory Care (2303C1): March 2021		Healthcare - Assisted Living
6	Little People's Landing Highlands Ranch	Child Care Center
21	Dish Network- Englewood	Office/Indoor Workspace
3	The Urban Egg - Fort Collins	Restaurant - Sit Down
3	Summit County Jail: March 2021	Jail
12	Northeastern Junior College - Athletics: March 2021	College/University
3	Tax Credit Connection	Office/Indoor Workspace
8	Discovery Canyon Campus (Elementary_ Middle_ High School): March 2021 	School K-12
3	Sprouts Farmers Market- Corbett Dr #303	Grocery Store
3	Encore Electric_ Inc.- Fort Collins	Construction Company/Contractor
4	Swansea Elementary School: March 2021	School K-12
4	Peak View Roofing LLC	Home Maintenance Services
4	Springs Village Care Center (020535): March 2021	Healthcare - Skilled Nursing
4	Yasmeen's Bright Steps Academy	Child Care Center
2	Edge Optics	Healthcare - Outpatient
7	Colorado Christian University: March 2021	College/University
