date,total,name,type,county,residents,staff,attendee
2021-03-12,6,Sports Stable: Adult Lunch League Hockey,Adult Sports Club/Team,Boulder,0,0,6
2021-02-04,7,Colorado Avalanche,Adult Sports Club/Team,Colorado,0,7,0
2021-03-09,10,Westminster Ice Centre-Ice-O-Topes Hockey Team ,Adult Sports Club/Team,Jefferson,0,0,10
2021-04-06,3,Colorado Volleyball Connection-Senior Moments Team,Adult Sports Club/Team,Jefferson,0,0,3
2021-03-23,6,Rocky Mountain Roller Hockey League_ Inc,Adult Sports Club/Team,Jefferson,0,0,6
2021-03-21,6,Ollie's Pub & Grub,Bar/Tavern/Brewery,Summit,0,6,0
2021-04-01,2,Odell Brewing Company: March 2021 ,Bar/Tavern/Brewery,Larimer,0,2,0
2021-04-01,8,Atomic Cowboy- Broadway,Bar/Tavern/Brewery,Denver,0,8,0
2021-04-01,5,Atomic Cowboy- E Colfax,Bar/Tavern/Brewery,Denver,0,5,0
2021-03-16,4,Bao Brewhouse,Bar/Tavern/Brewery,Denver,0,4,0
2021-04-02,6,10 Barrel,Bar/Tavern/Brewery,Denver,0,6,0
2021-01-31,7,Old Town Pub,Bar/Tavern/Brewery,Routt,0,0,7
2021-03-22,4,Mash Lab Brewing & Kitchen,Bar/Tavern/Brewery,Larimer,0,4,0
2021-02-26,18,Dark Horse,Bar/Tavern/Brewery,Boulder,0,18,0
2021-03-22,2,WeldWerks Brewing Co. ,Bar/Tavern/Brewery,Weld,0,2,0
2021-03-18,3,Tocko,Bar/Tavern/Brewery,Summit,0,3,0
2021-04-06,3,Triple Crown Casino: March 2021,Casino,Teller,0,3,0
2021-03-22,3,Bronco Billy's Casino,Casino,Teller,0,3,0
2021-03-29,4,Double Eagle Hotel & Casino,Casino,Teller,0,4,0
2020-10-29,22,Maverick Gaming,Casino,Gilpin,0,22,0
2021-03-25,2,Colorado Grande Casino,Casino,Teller,0,2,0
2021-03-03,11,Wildwood Casino: February 2021,Casino,Teller,0,11,0
2021-03-03,3,Ameristar Casinos: March 2021,Casino,Gilpin,0,3,0
2021-01-27,6,Creede Early Learning Center,Child Care Center,Mineral,0,2,4
2021-04-02,6,Parker Landing Child Development Center,Child Care Center,Douglas,0,5,1
2021-03-31,5,The Villaggio,Child Care Center,Douglas,0,2,3
