address,aka_name,city,dba_name,facility_type,inspection_date,inspection_id,inspection_type,latitude,license_,location,longitude,results,risk,state,violations,zip
5255 W MADISON ST ,RED SNAPPER FISH CHICKEN & PIZZA,CHICAGO,RED SNAPPER FISH CHICKEN & PIZZA,Restaurant,2016-09-26T00:00:00.000,1965287,Canvass,41.880236543865834,1991820.0,"{'type': 'Point', 'coordinates': [-87.757220392117, 41.880236543866]}",-87.7572203921175,Pass w/ Conditions,Risk 1 (High),IL,"35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST CLEAN THE WALLS AT WALL BASE NEAR THE MIXER IN REAR OF PREMISES AND THE PREP AREA OF FOOD SPILLS AND CLEAN THE WALL VENT IN PREP AREA ,INSTRUCTED TO CLEAN AND MAINTAIN AREA | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: MUST CLEAN THE INTERIOR PANEL OF THE ICE MACHINE IN REAR OF PREMISES | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN FLOORS THROUGHOUT PREMISES,ALONG WALL BASE AND CORNERS OF GREASE AND DIRT BUILD-UP,INSTRUCTED TO CLEAN AND MAINTAIN AREA | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: MUST PROVIDE A LIGHT SHIELD COVER FOR THE WALK-IN FREEZER IN REAR OF PREMISES | 22. DISH MACHINES: PROVIDED WITH ACCURATE THERMOMETERS, CHEMICAL TEST KITS AND SUITABLE GAUGE COCK - Comments: OBSERVED NO CHEMICAL TEST STRIPS TO TEST THE SANITIZER AT 3 COMPARTMENT SINK,WHEN SINK IS SET UP FOR WASH,RINSE AND SANITIZE,INSTRUCTED TO PROVIDE SERIOUS VIOLATION 7-38-030 | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: MUST PROVIDE A THERMOMETER INSIDE THE PREP COOLER IN PREP AREA",60644.0
5958 W DIVERSEY AVE ,TAQUERIA MORELOS,CHICAGO,TAQUERIA MORELOS,Restaurant,2014-02-06T00:00:00.000,1329698,Canvass,41.931249818095836,2099479.0,"{'type': 'Point', 'coordinates': [-87.775906998242, 41.931249818096]}",-87.7759069982422,Pass,Risk 1 (High),IL,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Non food contact surfaces of ice machine not clean, needs cleaning. 
Non food contact surfaces of cooler shelving/racks not clean, need cleaning. 
Prep table lower shelving not clean, need detailed cleaning(crevices). | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Floors under heavy equipment, cooking equipment not clean, need detailed cleaning(corners). floors in rear storage areas, storage closet not clean, need detailed cleaning. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: Light shields were missing end caps in display cooler, must provide end caps to display cooler light shields. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: Exhaust canopy not clean, needs detailed cleaning, exhaust vents(ventilation)in coolers not clean, needs detailed cleaning.",60639.0
5400-5402 N CLARK ST ,HAMBURGER MARY'S/MARY'S REC ROOM,CHICAGO,HAMBURGER MARY'S CHICAGO/MARY'S REC ROOM,Restaurant,2010-12-03T00:00:00.000,470787,SFP,41.97988428297559,1933748.0,"{'type': 'Point', 'coordinates': [-87.668429484682, 41.979884282976]}",-87.66842948468236,Fail,Risk 1 (High),IL,"6. HANDS WASHED AND CLEANED, GOOD HYGIENIC PRACTICES; NO BARE HAND CONTACT WITH READY-TO-EAT FOODS. - Comments: All employees who handle food shall wash their hands as often as necessary to maintain a high degree of personal cleanliness and should conform to hygienic practices prescribed by the Board of Health. 
 
POOR HYGIENIC PRACTICES. OBSERVED EMPLOYEE ENTERING THE KITCHEN SET UP DIRTY DISHES IN A TRAY,PUT IT THROUGH THE  DISH MACHINE AND WITHOUT WASHING HANDS COLLECTED,AND STORED  CLEAN DISHES,INSTRUCTED TO WASH HANDS PRIOR TO HANDLE CLEAN DISHES AND OTHER UTENSILS. CRITICAL VIOLATION:7-38-010(A) HOOOO70715-13 | 11. ADEQUATE NUMBER, CONVENIENT, ACCESSIBLE, DESIGNED, AND MAINTAINED - Comments: Adequate and convenient toilet facilities shall be provided.  They should be properly designed, maintained, and accessible to employees at all the time. 
 
STAFF AND CUSTOMER'S WASHROOMS NOT MAINTAINED.HOT WATER NOT PROVIDED ON FIVE OF OUT SIX WASHROOMS.PRESENT WATER TEMP IS 65.7F TO 67.6F. A PUMBLER WAS CALLED, ON PREMISES,ALSO INSTRUCTED TO USE THE OTHER WASHROOM.CRITICAL VIOLATION:7-38-030 HOOOO70716-14 
 | 19. OUTSIDE GARBAGE WASTE GREASE AND STORAGE AREA; CLEAN, RODENT PROOF, ALL CONTAINERS COVERED - Comments: The area outside of the establishment used for the storage of garbage shall be clean at all times and shall not constitute a nuisance. 
 
OUTSIDE GARBAGE AREA NOT MAINTAINED.OBSERVED WASTE OIL CONTAINER WITH GREASE BUILD-UP,ALSO FOOD DEBRIS.NEED TO CLEAN OUTSIDE REAR DOOR,REMOVE FOOD, DEBRIS,CIGARETTE BUTTS ON GROUND,ALSO ELEVATE ITEMS NEEDED.INSTRUCTED TO CLEAN WASTE OIL CONTAINER AND AREA IN FRONT OF REAR DOOR. 
SERIUOS VIOLATION:7-38-020 HOOOO70716-14 | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: Shielding to protect against broken glass falling into food shall be provided for all artificial lighting sources in preparation, service, and display facilities. 
 
PROVIDE MISSING LIGHT SHIELD IN DISHROOM,AND PREP AREA | 3. POTENTIALLY HAZARDOUS FOOD MEETS TEMPERATURE REQUIREMENT DURING STORAGE, PREPARATION DISPLAY AND SERVICE - Comments: All hot food shall be stored at a temperature of 140F or higher. 
 
FOUND POTENTIALLY HAZARDOUS FOOD AT IMPROPER TEMPERATURE IN TWO DIFFERENT COOLERS IN PREP AREA:HUMMUS AT TEMP OF 46.9F;DICED TOMATOES AT TEMP OF 46.9F TO 48F; COLESLAW AT TEMP OF 46.7F TO 49F; AND COTTAGE CHEESE AT TEMP OF 49F.NO PROOF OF TIME AND TEMPERATURE LOG PROVIDE.FOOD DISCARDED AND DENATURED.POUND 6, VALUE 20 .CRITICAL VIOLATION:7-38-005(A) HOOOO70715-13 | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: All food and non-food contact surfaces of equipment and all food storage utensils shall be thoroughly cleaned and sanitizing daily. 
 
NEED TO CLEAN SHELVES WITH ENCRUSTED FOOD, IN COOLERS.CLEAN INTERIOR OF CHEST FREEZER,ICE AND ICE CREAM BUILD-UP.CLEAN AND ORGANIZE ALL SHELVES IN PREP AREA. | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: All food and non-food contact equipment and utensils shall be smooth, easily cleanable, and durable, and shall be in good repair. 
FOUND INTERIOR CHEST FREEZER LINER IN POOR REPAIR(BROKEN ,EXPOSED INSULATIONS)INSTRUCTED TO REPAIR OR REPLACE,IN BASEMENT AREA(FRENCH FRIES CHEST FREEZER). | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: The walls and ceilings shall be in good repair and easily cleaned. 
LIGHT SHIELD IS NEEDED IN DISH ROOM ABOVE DISHMACHINE AND CLEAN DISHES. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: All food establishments that display, prepare, or store potentially hazardous foods shall have calibrated metal stem thermometers, provided and conspicuous, for refrigerated and hot food units. 
 
PROVIDE VISIBLE THERMOMETERS FOR ALL COOLERS,FREEZERS AND WALK-IN COOLER AND WALK-IN FREEZER. ALSO PROVIDE A STEM THERMOMETERS FOR THE COOKS,SO CAN  CHECK FOOD TEMPERATURE.",60640.0
2804 N CLARK ST ,Wells Street Popcorn,CHICAGO,Wells Street Popcorn,Restaurant,2010-02-01T00:00:00.000,68091,Canvass,41.932920973712655,1954774.0,"{'type': 'Point', 'coordinates': [-87.645154547633, 41.932920973713]}",-87.6451545476329,Pass,Risk 2 (Medium),IL,,60657.0
2409 N WESTERN AVE ,CHICAGO CUPCAKE,CHICAGO,CHICAGO CUPCAKE LLC.,Mobile Food Dispenser,2013-05-03T00:00:00.000,1335320,License Re-Inspection,41.92521769617991,2232391.0,"{'type': 'Point', 'coordinates': [-87.687506594905, 41.92521769618]}",-87.68750659490456,Fail,Risk 3 (Low),IL,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: THE PIPING MATERIAL USED FOR THE FRESH WATER SUPPLY INSIDE THE (MFD)TRUCK MUST BE FOOD GRADE/NSF APPROVED PROVIDE DOCUMENTATION. 
 | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST REPAIR WATER LEAK AT DRAIN PIPE BENEATH THE EXPOSED HANDSINK. | 9. WATER SOURCE: SAFE, HOT & COLD UNDER CITY PRESSURE - Comments: VIOLATION CORRECTED. | 12. HAND WASHING FACILITIES: WITH SOAP AND SANITARY HAND DRYING DEVICES, CONVENIENT AND ACCESSIBLE TO FOOD PREP AREA - Comments: VIOLATION CORRECTED. | 18. NO EVIDENCE OF RODENT OR INSECT OUTER OPENINGS PROTECTED/RODENT PROOFED, A WRITTEN LOG SHALL BE MAINTAINED AVAILABLE TO THE INSPECTORS - Comments: ALSO,MUST SEAL ALL NOTICEABLE OPENINGS ON FLOOR AND WHERE NOTED,ENSURE THAT DOORS TO THE (MFD) TRUCK ARE SEALED TO PREVENT PEST ENTRY. 
 | 30. FOOD IN ORIGINAL CONTAINER, PROPERLY LABELED: CUSTOMER ADVISORY POSTED AS NEEDED - Comments: VIOLATION CORRECTED.",60647.0
3481 S DR MARTIN LUTHER KING JR DR ,DUNKIN DONUTS/BASKIN ROBBINS,CHICAGO,DUNKIN DONUTS/BASKIN ROBBINS,Restaurant,2013-09-16T00:00:00.000,1228169,Canvass,41.83118551028846,1823777.0,"{'type': 'Point', 'coordinates': [-87.616820999883, 41.831185510288]}",-87.61682099988268,Pass,Risk 2 (Medium),IL,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: DRAINS IN NEED OF CLEANING TO REMOVE ALL BUILD UP.  
MUST CLEAN AND MAINTAIN AT ALL TIMES. 
 | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: FLOORS IN NEED OF CLEANING TO REMOVE ALL BUILD UP. 
MUST CLEAN AND MAINTAIN AT ALL TIMES. 
",60616.0
3201-3203 W ARMITAGE AVE ,STREET SIDE CAFE,CHICAGO,STREET SIDE CAFE,Restaurant,2012-09-27T00:00:00.000,1285582,Canvass,41.91729149564559,84648.0,"{'type': 'Point', 'coordinates': [-87.707051601495, 41.917291495646]}",-87.70705160149535,Pass w/ Conditions,Risk 1 (High),IL,"16. FOOD PROTECTED DURING STORAGE, PREPARATION, DISPLAY, SERVICE AND TRANSPORTATION - Comments: SOURCE OF CROSS CONTAMINATION, INTERIOR OF ICE MACHINE, TOP AREA OF BOTH MACHINES AND INTERIOR PANELS, APPEARS TO HAVE MOLD BUILD-UP, AND RUST, INSTRUCTED TO DISCONTINUE USE, AND USE PRE PACKAGE ICE, UNTIL MACHINE IS CLEAN, MACHINE TAGGED, INSTRUCTED TO FAX A LETTER TO CDPH ONCE MACHINE IS PROPERLY CLEAN AND SANITIZE, FAX #312746-4240  
 
SERIOUS CITATION ISSUED: 7-38-005 (A) | 28. * INSPECTION REPORT SUMMARY DISPLAYED AND VISIBLE TO ALL CUSTOMERS - Comments: PREVIOUS SUMMARY SHEET NOT POSTED FOR CUSTOMER VIEWING AT THIS TIME OF INSPECTION, 
 
SERIOUS CITATION ISSUED: 7-42-010 (B) | 32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: MUST PROVIDE SPLASH GUARD AT EXPOSED HAND SINK NEXT TO 3 COMPARTMENT SINK, IN FIRST FLOOR KITCHEN AREA, | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN FLOORS FIRST FLOOR AND BASEMENT AREAS, REMOVE ALL TRASH AND DEBRI FROM BASEMENT FLOOR | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST CLEAN AND REPAIR WALL IN FIRST FLOOR KITCHEN AREA, AND REPLACE BROKEN CEILING TILE IN KITCHEN AREA | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: REMOVE ALL CLUTTER FROM BASEMENT AREA, POSSIBLE RODENT HARBORAGE, INSTRUCTED TO CLEAN AND BETTER ORGANIZE AREA",60647.0
5215 W CHICAGO AVE BLDG E2,"GOLDEN HOOK FISH, CHICKEN",CHICAGO,"GOLDEN HOOK FISH, CHICKEN",Restaurant,2011-08-11T00:00:00.000,557486,Canvass,41.89481469929343,2069859.0,"{'type': 'Point', 'coordinates': [-87.756302159017, 41.894814699293]}",-87.75630215901684,Pass,Risk 2 (Medium),IL,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: Floor along wallbase and behind equipment not cleaned. Instructed to detail clean. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: Ceiling and ventilation covers not cleaned. Instructed to detail clean ventilation covers and replace damaged ceiling tile. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: Exhaust hood, filters and interior ice machine panel not cleaned. Instructed to detail clean and sanitize. | 43. FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED - Comments: Ice scoop not properly stored. Instructed to store in a sanitize holder or container. | 40. REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS - Comments: Thermometer not provided in reach-in cooler. Instructed to provide thermometer conspicuous inside cooler.",60651.0
4445 S Drexel (900E) ,KING COLLEGE PREP HIGH SCHOOL,CHICAGO,KING SELECTIVE ENROL.H/S,School,2010-05-26T00:00:00.000,74468,Canvass,41.81369470514084,46371.0,"{'type': 'Point', 'coordinates': [-87.603837610637, 41.813694705141]}",-87.60383761063724,Pass,Risk 1 (High),IL,"32. FOOD AND NON-FOOD CONTACT SURFACES PROPERLY DESIGNED, CONSTRUCTED AND MAINTAINED - Comments: COMPRESSOR FOR WALK-IN COOLER # 1 BROKEN REPAIR SAME. 
TAGGER COOLER. 
ALL POTENTIALLY HAZARDOUS FOOD PRODUCT MOVED FROM COOLER, MOVED INTO ANOTHER WALKIN AT REQUIRED TEMP. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: DETAIL CLEAN FLOORS AND CORNERS THROUGHOUT, i.e. DRY STORAGE, COMPRESSOR ROOM ETC. | 36. LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED - Comments: DETAAIL CLEAN LIGHT SHIELDS THROUGHT. | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: DETAIL CLEAN ALL VENT COVERS THROUGHT REMOVING ALL DUST FROM THE VENTS. 
TEPAIR LEAKY FAUCET ON MOP SINK IN JANITORS CLOSET.",60653.0
3958 N NARRAGANSETT AVE ,MR ZEE'S,CHICAGO,"MR ZEES, INC",Restaurant,2015-02-10T00:00:00.000,1522863,Canvass,41.952792000245715,49683.0,"{'type': 'Point', 'coordinates': [-87.78670111988, 41.952792000246]}",-87.78670111988033,Pass,Risk 1 (High),IL,"38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: INSTRUCTED TO INSTALL EXPOSED HAND SINK WITH HOT AND COLD RUNNING WATER EQUIPPED WITH SOAP AND PAPER TOWEL IN PREP/COOKING AREA.---------MUST REPAIR SLOW DRAINING EXPOSED HAND SINK IN FRONT PREP AREA. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: INSTRUCTED TO CLEAN, MAINTAIN, REORGANIZE AND REMOVE UNNECESSARY ARTICLES AND CLUTTER STORE IN 2ND FLOOR STORAGE TO PREVENT PEST HARBORAGE.----------CLEANING EQUIPMENT (MOPS AND BROOMS) MUST BE PROPERLY STORED OFF THE FLOOR IN THE MOP SINK AREA. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: INSTRUCTED TO REPAIR/RE GROUT FLOOR TILES IN REAR PREP AREA BY 3 COMPARTMENT SINK.-------MUST CLEAN FLOORS ALONG THE WALLS AND IN ALL CORNERS IN REAR PREP AND IN 2ND FLOOR STORAGE AREA. | 45. FOOD HANDLER REQUIREMENTS MET - Comments: FOUND NO PROOF OF EMPLOYEE FOOD HANDLER TRAINING CERTIFICATE ON PREMISES. INSTRUCTED TO PROVIDE. | 33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN SIDES OF COOKING EQUIPMENT WITH EXCESSIVE GREASE AND DRIED FOOD DEBRIS IN REAR COOKING AREA AND IN REAR MOP SINK AREA",60634.0
